language,aff,family,gltc_lang,lang_col,aff_col,x,y,abbr
Agul,Lezgic,East Caucasian,aghu1253,#00cc66,#009999,9,4,
Amuzgi-Shiri,Dargwa,East Caucasian,sout3261,#f9ec49,#000066,9,6,
Archi,Lezgic,East Caucasian,arch1244,#88ff26,#327fcb,6,5,
Avar,Avar-Andic,East Caucasian,avar1256,#009999,#000099,6,8,
Azerbaijani,Oghuz,Turkic,nort2697,#cccccc,#0000c3,9,1,
Bagvalal,Avar-Andic,East Caucasian,bagv1239,#000066,#2563de,4,9,
Bezhta,Tsezic,East Caucasian,bezh1248,#ff5050,#4a4ab5,5,6,
Borch-Khnov,Lezgic,East Caucasian,rutu1240,#009900,#003366,9,3,
Botlikh,Avar-Andic,East Caucasian,botl1242,#327fcb,#5fc1ff,4,10,
Budukh,Lezgic,East Caucasian,budu1248,#3e7a04,#009cff,12,2,
Chamalal,Avar-Andic,East Caucasian,cham1309,#000099,#0c60db,3,9,
Chechen,Nakh,East Caucasian,chec1245,#996600,#6262ff,3,13,
Chirag,Dargwa,East Caucasian,chir1284,#fecc9b,#095097,7,4,
Eastern Armenian,Armenic,Indo-European,nucl1235,#9d76ff,#f9ec49,1,1,
Georgian,Georgic,Kartvelian,nucl1302,#9effed,#fecc9b,1,4,
Gigatli,Avar-Andic,East Caucasian,cham1309,#0000c3,#ff8c00,3,10,
Godoberi,Avar-Andic,East Caucasian,ghod1238,#2563de,#b99c00,3,11,
Hapshima,Dargwa,East Caucasian,darg1241,#ff8c00,#d4c948,8,7,
Hinuq,Tsezic,East Caucasian,hinu1240,#ff0066,#ffb268,4,6,
Hunzib,Tsezic,East Caucasian,hunz1247,#cc0000,#ff984e,5,5,
Ingush,Nakh,East Caucasian,ingu1240,#663300,#ee7621,2,13,
Juhuri,Iranian,Indo-European,jude1256,#9a7ee0,#ffd000,12,5,
Kajtag,Dargwa,East Caucasian,kajt1238,#b99c00,#eee685,11,6,
Karata,Avar-Andic,East Caucasian,kara1474,#4a4ab5,#eec400,5,11,
Khinalug,Khinalug,East Caucasian,khin1240,#ead1dc,#fff672,11,2,
Khwarshi,Tsezic,East Caucasian,khva1239,#ec2525,#ffc65b,4,7,
Kryz,Lezgic,East Caucasian,kryt1240,#43cd71,#cf7d1c,11,1,
Kubachi,Dargwa,East Caucasian,kuba1248,#d4c948,#ead1dc,8,8,
Kumyk,Kipchak,Turkic,kumy1244,#a6a6a6,#ffb8ff,7,12,
Lak,Lak,East Caucasian,lakk1252,#ffb8ff,#00cc66,7,6,
Lezgian,Lezgic,East Caucasian,lezg1247,#00cc00,#88ff26,11,3,
Lower Andi,Avar-Andic,East Caucasian,lowe1465,#003366,#009900,4,11,
Mehweb,Dargwa,East Caucasian,darg1241,#ffb268,#3e7a04,7,7,
Mitahi-Jalqan,Iranian,Indo-European,nort2697,#cfbbff,#43cd71,12,6,
Muira,Dargwa,East Caucasian,darg1241,#ff984e,#00cc00,10,6,
Nogai,Kipchak,Turkic,noga1249,#666666,#00ff80,7,13,
Northern Akhvakh,Avar-Andic,East Caucasian,akhv1239,#5fc1ff,#34ed34,5,9,
Northern Dargwa,Dargwa,East Caucasian,darg1241,#ee7621,#44c044,9,8,
Qushan Agul,Lezgic,East Caucasian,kosh1245,#00ff80,#409c00,10,4,
Rutul,Lezgic,East Caucasian,rutu1240,#34ed34,#006400,8,3,
Sanaqari-Chahrizhi,Dargwa,East Caucasian,kajt1238,#ffd000,#996600,10,7,
Sanzhi-Itsari,Dargwa,East Caucasian,sout3261,#eee685,#663300,9,5,
Shari,Dargwa,East Caucasian,kajt1238,#eec400,#7d552c,10,5,
Southern Akhvakh,Avar-Andic,East Caucasian,sout3319,#009cff,#ff5050,5,8,
Southwestern Dargwa,Dargwa,East Caucasian,sout3261,#fff672,#ff0066,8,6,
Tabasaran,Lezgic,East Caucasian,taba1259,#44c044,#cc0000,11,5,
Tat,Iranian,Indo-European,musl1236,#bba2ff,#ec2525,12,1,
Tindi,Avar-Andic,East Caucasian,tind1238,#0c60db,#990033,4,8,
Tsakhur,Lezgic,East Caucasian,tsak1249,#409c00,#9d76ff,7,3,
Tsez,Tsezic,East Caucasian,dido1241,#990033,#9a7ee0,3,6,
Tsova-Tush,Nakh,East Caucasian,bats1242,#7d552c,#cab3ff,2,4,
Tsudaqar,Dargwa,East Caucasian,darg1241,#ffc65b,#bba2ff,7,8,
Tukita,Avar-Andic,East Caucasian,kara1474,#6262ff,#9effed,5,10,
Udi,Lezgic,East Caucasian,udii1243,#006400,#a6a6a6,6,3,
Upper Andi,Avar-Andic,East Caucasian,uppe1485,#095097,#666666,4,12,
Usisha-Butri,Dargwa,East Caucasian,darg1241,#cf7d1c,#cccccc,9,7,
